leaid,locale,locale2
0601404,22,Suburban
0601405,13,City
0601406,21,Suburban
0601409,33,Town
0601410,41,Rural
0601414,13,City
0601415,21,Suburban
0601416,21,Suburban
0601417,41,Rural
0601418,31,Town
0601420,33,Town
0601421,31,Town
0601422,41,Rural
0601423,22,Suburban
0601424,43,Rural
0601425,11,City
0601426,21,Suburban
0601427,32,Town
0601428,21,Suburban
0601429,11,City
0601430,11,City
0601431,11,City
0601432,13,City
0601433,11,City
0601434,22,Suburban
0601435,11,City
0601436,43,Rural
0601438,21,Suburban
0601439,21,Suburban
0601440,21,Suburban
0601441,21,Suburban
0601442,32,Town
0601443,21,Suburban
0601444,21,Suburban
0601445,21,Suburban
0601446,11,City
0601447,21,Suburban
0601448,11,City
0601461,11,City
0601462,21,Suburban
0601463,21,Suburban
0601464,21,Suburban
0601465,11,City
0601466,11,City
0601467,43,Rural
0601468,11,City
0601469,41,Rural
0601470,11,City
0601471,11,City
0601472,41,Rural
0601473,21,Suburban
0601474,11,City
0601475,21,Suburban
0601476,11,City
0601477,11,City
0601478,12,City
